"tag";"bandNumber";"Color";"species";"sex";"age";"Wing.chord.num";"Site";"captureSite"
"01101759E0";"8383232";"JMTN";"Great";"M";"+1a";78;"C4";"C4"
"011016ADCD";"8425098";"VMTY";"Great";"M";"+1a";78.5;"C4";"H1"
"0110171F67";"8383607";"TWNM";"Great";"F";"1a";74.5;"C4";"C4"
"0110171D90";"8383389";"TWWM";"Great";"M";NA;75;"C4";"C4"
"0700EDFA87";"8425227";"TYMN";"Marsh";NA;NA;62;"C4";"C4"
"0700EDC3D3";"7969043";"NMTC";"Blue";NA;"+1a";64;"C4";"C4"
"0700EE4378";"7969074";"TRPM";"Marsh";NA;"+1a";63;"C4";"C4"
"0700EDE634";"8425071";"TYMW";"Great";"F";"+1a";77;"H1";"H1"
"0700ED8622";"8383604";"JMTA";"Great";"F";"+1a";72.5;"C4";"C4"
"0700EE04D0";"7969058";"TYVM";"Marsh";NA;"+1a";64;"C4";"C4"
"0700EE0B63";"7969038";"TRGM";"Marsh";NA;"+1a";62;"C4";"C4"
"0700EDE0DB";"8383622";"TNUM";"Great";"F";NA;74;"C4";"C4"
"01103F3A75";"8383207";"UMTV";"Great";"M";"+1a";76.5;"C4";"C4"
"030002AD31";"7476306";"XMTN";"Great";"M";"+1a";80;"C4";"C4"
"0700EDF167";"8383602";"JMTR";"Great";"F";"1a";71.5;"C4";"C4"
"011016ECD6";"8383210";"CMTC";"Great";"F";"+1a";72.5;"C4";"C4"
"011017442F";"8425987";"MBTG";"Great";"F";"+1a";75;"C4";"C1"
"011016E64A";"8239801";"MPTV";"Blue";NA;NA;NA;"C4";"C4"
"011016C427";"8383369";"TYNM";"Great";"M";"1a";76;"C4";"C4"
"03000192BF";"7719950";"BMTC";"Great";"F";"+1a";72.5;"C4";"C4"
"0700EE06AE";"8383230";"OMTA";"Marsh";NA;NA;64;"C4";"C4"
"0700EE062E";"8383578";"TYMV";"Marsh";NA;NA;64;"C4";"C4"
"011016E6F7";"8383709";"TYCM";"Great";"M";"+1a";77;"C4";"C4"
"0110176DE8";"8383211";"CMTN";"Great";"M";"+1a";79.5;"C4";"C4"
"011016A24D";"8383610";"PMTV";"Blue";NA;"+1a";65;"C4";"C4"
"0110176569";"8383234";"TNMN";"Great";"F";"1a";75;"C4";"C4"
"01101719D6";"8425917";"TGMP";"Great";"F";NA;72;"C1";"C1"
"0110174BA3";"8383585";"MCTW";"Marsh";NA;NA;65.5;"H1";"H1"
"0700EDF2B5";"8383625";"TAUM";"Great";"F";"+1a";74;"C4";"C4"
"011016EDA2";"8383229";"GMTV";"Marsh";NA;NA;63;"C4";"C4"
"0110179A03";"8214508";"TNGM";"Blue";"F";"+1a";63;"Nest";"Nest"
"0110174076";"8383231";"PMTW";"Blue";NA;"+1a";64.5;"C4";"C4"
"011016F509";"8214929";"MVTG";"Blue";"M";NA;68;"C1";"C1"
"011016B48A";"8383213";"CMTY";"Great";"F";"1a";74;"C4";"C4"
"011016A633";"uncorrectband";"BYTV";"Great";"F";"1a";72;"C4";"C4"
"011016A36E";"8383624";"TYUM";"Great";"F";NA;73.5;"C4";"C4"
"0110173EFF";"8383208";"OMTN";"Marsh";"F";"+1a";74;"C4";"C4"
"0700EDDC4F";"8383779";"OMTC";"Blue";NA;"+1a";62.5;"H1";"H1"
"011017A046";"8214554";"TNWM";"Blue";"F";"+1a";65;"Nest";"Nest"
"011016BFDB";"8383606";"MWTV";"Great";"M";NA;75;"C4";"C4"
"0110172125";"8239806";"BMTW";"Marsh";NA;NA;65;"C4";"C4"
"011017191E";"8383711";"TGCM";"Great";"M";"+1a";76.5;"C4";"C4"
"0700EE3933";"7720773";"MXTR";"Blue";"F";"+1a";65;"C1";"Nest"
"011016A6BB";"8383609";"OMTV";"Blue";NA;"1a";63;"C4";"C4"
"0700EDFB02";"uncorrectband";"BATA";"Great";"M";"+1a";80;"C4";"C4"
"01101768D5";"8425049";"VMTN";"Great";"M";"1a";77;"H1";"H1"
"0700EDB54C";"8383228";"GMTN";"Marsh";NA;NA;67;"C4";"C4"
"0700EDE67E";"8239820";"BMTA";"Marsh";NA;"+1a";60;"C4";"C4"
"0700EE0592";"7720385";"MWTY";"Great";"M";"+1a";76;"Nest";"Nest"
"0300035D8D";"8383395";"MCTY";"Great";"F";"+1a";75;"H1";"H1"
"011016ECBB";"8383391";"NMTV";"Great";"F";NA;74.5;"C4";"C4"
"011016F46D";"8214588";"VMTV";"Blue";NA;"1a";68;"H1";"H1"
"011016BAF5";"8383778";"BMTV";"Great";"M";"+1a";79;"H1";"H1"
"0700ED9B79";"8425863";"CMTA";"Blue";"M";"+1a";67;"C1";"C1"
"0110172A3C";"8425864";"NMTN";"Blue";"F";"1a";64;"C1";"C1"
"01101719C7";"8383452";"CMTN";"Marsh";NA;NA;65;"M1";"M1"
"0700ED94F2";"7476812";"VMTC";"Blue";"M";"+1a";70;"M1";"M1"
"011016C028";"8383720";"TYRM";"Great";"M";NA;78;"M1";"M1"
"0700ED9D8A";"8383589";"CMTY";"Great";"F";"+1a";75;"M1";"M1"
"0110171597";"8214692";"GMTG";"Great";"M";"+1a";74;"M1";"Nest"
"0700EDADDC";"8425001";"MATA";"Marsh";NA;"+1a";67;"M1";"M1"
"0110179828";"8239754";"YMTN";"Marsh";NA;NA;60;"M1";"M1"
"0700EE00B6";"8425279";"TAAM";"Great";"M";"+1a";77;"M1";"M1"
"0700EE431E";"8383632";"TRJM";"Blue";NA;"1a";66.5;"M1";"M1"
"0700EDFA9D";"7969169";"TRMP";"Marsh";NA;"+1a";62;"M1";"M1"
"011016EE2F";"8383683";"TVAM";"Great";"F";"+1a";73;"M1";"M1"
"0700EDEB2A";"8383680";"EMTR";"Great";"M";"+1a";75;"M1";"M1"
"0110173AA0";"8383091";"MATG";"Great";"M";"1a";74;"M1";"M1"
"0700EDC3EB";"7969376";"TRGM";"Marsh";NA;"+1a";68;"M1";"M1"
"01101712C6";"8425272";"OMTG";"Great";"F";"1a";72;"M1";"M1"
"011017A812";"7476884";"OMTR";"Marsh";NA;NA;64;"M1";"M1"
"011016EBE9";"8425298";"NMTV";"Blue";NA;"1a";67.5;"M1";"M1"
"0700EDB553";"8425195";"TYMU";"Great";"M";"+1a";77;"M1";"L1"
"0700EDEE24";"7969008";"TCCM";"Blue";"M";"+1a";68;"M1";"M1"
"0700EE41BF";"7476883";"OMTY";"Marsh";NA;"+1a";66;"M1";"M1"
"0700EE0628";"7969133";"MXTA";"Blue";"F";"+1a";67;"M1";"M1"
"01101726D0";"8425274";"BMTG";"Great";"M";"+1a";79;"M1";"M1"
"0110171FAD";"7969031";"TGMO";"Great";"M";"+1a";76;"M1";"M1"
"0110172D3B";"8425175";"OMTV";"Marsh";NA;"+1a";63.5;"M1";"M1"
"0700ED988B";"7969168";"TNMP";"Great";"F";"+1a";72;"M1";"M1"
"0700EE2977";"7969009";"MRTY";"Great";"M";"+1a";76.5;"M1";"M1"
"011016D309";"8383677";"TCMP";"Great";"F";"+1a";75.5;"M1";"M1"
"0700EDE35A";"8383712";"CMTY";"Blue";NA;"1a";66.5;"M1";"M1"
"011016BB41";"8425434";"TVME";"Great";"M";"+1a";76;"M1";"M1"
"0700EE20A4";"8425414";"CMTA";"Blue";"F";"1a";65;"M1";"M1"
"0110173BF1";"8383628";"MVTG";"Great";"M";"1a";75;"M1";"M1"
"011017929C";"8239772";"TNMU";"Blue";NA;"1a";68;"M1";"M1"
"0700EE2650";"8214103";"TCME";"Blue";NA;"1a";66;"M1";"M1"
"0700EE09E1";"7476814";"BMTA";"Blue";NA;"+1a";64;"M1";"M1"
"0110170F36";"7969090";"TWMV";"Blue";"F";"+1a";64;"M1";"M1"
"0700EE13EE";"8383717";"EMTY";"Blue";NA;NA;69;"M1";"M1"
"011016E371";"8425398";"MVTV";"Great";"M";"+1a";77.5;"M1";"M1"
